RecordDate,InvestorFullName,FundingType,AmountReceived,PurposeOfFunding,AdditionalInfo
2022-06-01,Fashion Capital Partners,Seed Funding,600000,Initial business setup and inventory,Series Seed
2022-06-01,Retail Growth Fund,Seed Funding,850000,Initial business setup and inventory,Series Seed - Lead investor
2022-09-15,Style Ventures LLC,Bridge Round,400000,Expansion of product lines,Bridge financing
2023-01-10,Apparel Investment Group,Series A,300000,Marketing and brand development,Series A
2023-04-20,Prestige Equity Partners,Series B,1200000,Warehouse expansion and technology,Series B - Lead investor
2023-07-15,Angel Fashion Network,Follow-on,250000,Working capital,Additional funding
2024-02-01,Fashion Capital Partners,Follow-on,300000,Spring collection expansion,Q1 2024
2024-05-15,Retail Growth Fund,Follow-on,450000,Summer inventory buildup,Q2 2024
2024-08-01,Prestige Equity Partners,Follow-on,600000,Fall/Winter collection,Q3 2024
2024-10-15,Fashion Capital Partners,Follow-on,200000,Holiday season preparation,Q4 2024
